CityID,Country,City,Latitude,Longitude,Altitude
1,Azerbaijan,Agcabadi,40.0527778,47.4613876,24
2,Azerbaijan,Agdam,39.9930556,46.9305573,363
3,Azerbaijan,Agdas,40.65,47.4761124,42
4,Azerbaijan,Agstafa,41.1188889,45.4538879,338
5,Azerbaijan,Agsu,40.5691667,48.4008331,114
6,Azerbaijan,Shirvan,39.9319444,48.9202766,13
7,Azerbaijan,Astara,38.4561111,48.8786125,-24
8,Azerbaijan,Baku,40.3952778,49.8822212,30
9,Azerbaijan,Balakan,41.7258333,46.4083328,388
10,Azerbaijan,Barda,40.3744444,47.126667,82
11,Azerbaijan,Bilasuvar,39.4583333,48.5449982,15
12,Azerbaijan,Cabrayil,39.4,47.0261116,570
13,Azerbaijan,Calilabad,39.2088889,48.4972229,31
14,Azerbaijan,Gadabay,40.5655556,45.8161125,1473
15,Azerbaijan,Ganca,40.6827778,46.3605537,409
16,Azerbaijan,Goranboy,40.6102778,46.7897224,149
17,Azerbaijan,Goycay,40.6530556,47.7405548,111
18,Azerbaijan,Imisli,39.8697222,48.0600014,15
19,Azerbaijan,Ismayilli,40.79,48.1519432,616
20,Azerbaijan,Lerik,38.7752778,48.4152794,1108
21,Azerbaijan,Masalli,39.0341667,48.665554,1
22,Azerbaijan,Mingacevir,40.77,47.0488892,32
23,Azerbaijan,Naxcivan,39.2088889,45.4122238,890
24,Azerbaijan,Neftcala,39.3586111,49.2469444,-7
25,Azerbaijan,Qabala,40.9813889,47.8458328,789
26,Azerbaijan,Qax,41.4225,46.9241676,616
27,Azerbaijan,Qazax,41.0933333,45.3661118,384
28,Azerbaijan,Qobu,40.4047222,49.7130547,74
29,Azerbaijan,Quba,41.3597222,48.5125008,587
30,Azerbaijan,Qubadli,39.3438889,46.5797234,540
31,Azerbaijan,Qusar,41.4263889,48.4355545,618
32,Azerbaijan,Sabirabad,40.0127778,48.4788895,-15
33,Azerbaijan,Saki,41.1919444,47.1705551,606
34,Azerbaijan,Salyan,39.595,48.9791679,-4
35,Azerbaijan,Samaxi,40.6302778,48.6413879,637
36,Azerbaijan,Samkir,40.8297222,46.0188904,433
37,Azerbaijan,Sumqayit,40.5897222,49.6686096,24
38,Azerbaijan,Susa,39.7563889,46.7511101,1172
39,Azerbaijan,Tartar,40.345,46.9288902,226
40,Azerbaijan,Tovuz,40.9922222,45.6288872,413
41,Azerbaijan,Ucar,40.5183333,47.6541672,13
42,Azerbaijan,Xacmaz,41.4708333,48.8097229,25
43,Azerbaijan,Xocali,39.9111111,46.7891655,584
44,Azerbaijan,Xocavand,39.7952778,47.1130562,336
45,Azerbaijan,Xudat,41.6280556,48.6827774,54
46,Azerbaijan,Yardimli,38.9205556,48.2372208,979
47,Azerbaijan,Yevlax,40.6172222,47.1500015,15
48,Azerbaijan,Zabrat,40.4872222,49.9524994,43
49,Azerbaijan,Zaqatala,41.6336111,46.6433334,545
50,Azerbaijan,Zardab,40.2183333,47.7083321,7
