No,customerID,CheckingAccount,SavingAccount,CertificatesofDeposit,Mortgages,Loans,CreditCard,DebitCard,CreditScore,TotalRelationshipCount,ContactsCount12month,TotalTransactionCount,CustomerSince,Churn
5112,6686-YPGHK,Yes,No,Yes,No,No,No,No,367,2,2,68,1/2/2023,Yes
5517,6923-EFPNL,Yes,Yes,No,No,No,Platinum,No,825,3,3,107,1/2/2023,Yes
3517,7587-RZNME,Yes,No,No,No,No,Standart,Standart,612,3,3,845,1/5/2023,Yes
2062,4958-GZWIY,Yes,No,No,No,Yes,Standart,No,698,3,3,277,1/7/2023,Yes
1888,4547-LYTDD,Yes,Yes,No,No,No,Standart,No,640,3,3,862,1/8/2023,Yes
4645,5701-ZIKJE,Yes,No,No,No,No,No,No,468,1,1,18,1/10/2023,No
1540,5071-FBJFS,Yes,No,Yes,No,No,Standart,No,660,3,3,253,1/13/2023,No
2099,4137-BTIKL,Yes,Yes,Yes,No,No,No,No,522,3,3,138,1/13/2023,No
4184,6917-IAYHD,No,Yes,No,Yes,No,Gold,No,685,3,3,973,1/13/2023,No
2543,4826-DXMUP,Yes,No,No,No,No,No,Premium,307,2,2,773,1/15/2023,No
3489,0003-MKNFE,Yes,Yes,No,No,No,No,No,521,2,2,131,1/16/2023,No
4642,9895-VFOXH,No,Yes,No,No,No,Gold,No,648,2,2,335,1/16/2023,No
5584,2657-ALMWY,Yes,No,No,Yes,No,Standart,No,600,3,3,489,1/18/2023,Yes
5959,6859-RKMZJ,Yes,No,No,No,No,Premium,No,728,2,2,260,1/18/2023,No
6878,4501-EQDRN,Yes,No,No,No,No,Premium,No,578,2,2,544,1/18/2023,Yes
1836,8356-WUAOJ,Yes,No,No,No,No,Standart,Standart,623,3,3,246,1/19/2023,No
6115,4226-KKDON,Yes,No,No,Yes,No,Standart,No,718,3,3,408,1/19/2023,No
5205,4282-ACRXS,No,Yes,No,No,No,Standart,Platinum,622,3,3,671,1/21/2023,No
1349,1184-PJVDB,Yes,No,No,No,No,Standart,Platinum,775,3,3,299,1/22/2023,Yes
2087,2955-BJZHG,Yes,No,No,No,No,Standart,No,519,2,2,737,1/24/2023,Yes
6303,9250-WYPLL,Yes,Yes,No,No,No,Standart,No,770,3,3,585,1/26/2023,Yes
678,0822-GAVAP,No,Yes,No,No,No,Standart,Standart,838,3,3,296,1/28/2023,Yes
3662,1142-IHLOO,Yes,No,No,No,No,Platinum,Premium,691,3,3,912,1/30/2023,No
287,3808-HFKDE,Yes,No,No,No,No,Standart,Platinum,756,3,3,210,2/2/2023,No
1404,2373-NTKOD,Yes,No,No,No,No,Standart,No,545,2,2,206,2/3/2023,No
2432,8263-JQAIK,No,Yes,No,No,No,Gold,Standart,811,3,3,696,2/4/2023,Yes
887,2123-AGEEN,Yes,No,No,No,Yes,Standart,No,751,3,3,478,2/5/2023,No
2511,3707-GNWHM,Yes,Yes,No,No,No,No,Standart,317,3,3,950,2/6/2023,Yes
6224,2575-GFSOE,Yes,No,No,No,No,Standart,No,525,2,2,741,2/7/2023,Yes
6519,1963-SVUCV,Yes,No,No,No,No,Standart,No,559,2,2,438,2/7/2023,Yes
6232,3296-SILRA,Yes,No,No,Yes,No,No,Standart,799,3,3,916,2/8/2023,Yes
3561,4452-QIIEB,Yes,No,No,No,No,Gold,No,755,2,2,269,2/11/2023,No
6848,8930-XOTDP,Yes,No,No,No,No,No,No,382,1,1,64,2/11/2023,No
2955,7410-YTJIK,Yes,Yes,No,No,No,No,No,477,2,2,43,2/13/2023,Yes
6510,0616-ATFGB,No,Yes,No,No,No,Standart,No,760,2,2,325,2/13/2023,Yes
6715,7315-WYOAW,Yes,Yes,No,No,No,Standart,No,840,3,3,884,2/14/2023,No
3244,3665-JATSN,No,Yes,No,Yes,No,Standart,No,840,3,3,351,2/15/2023,No
650,3509-GWQGF,Yes,No,No,No,No,Platinum,No,589,2,2,200,2/17/2023,No
1254,2026-TGDHM,Yes,No,No,No,No,Standart,No,683,2,2,680,2/17/2023,No
6152,3627-FCRDW,Yes,No,No,No,No,Standart,No,521,2,2,887,2/18/2023,No
3217,7250-EQKIY,Yes,No,No,No,Yes,No,No,776,2,2,134,2/19/2023,No
2220,1302-UHBDD,Yes,No,No,No,No,Standart,No,527,2,2,852,2/20/2023,No
5962,2049-BAFNW,No,Yes,No,No,Yes,Gold,No,743,3,3,226,2/20/2023,No
6402,0807-ZABDG,Yes,No,Yes,No,No,No,Standart,375,3,3,935,2/20/2023,No
2256,9537-VHDTA,Yes,No,Yes,No,No,No,No,379,2,2,76,2/21/2023,No
1830,3030-YDNRM,Yes,Yes,No,No,No,Standart,No,673,3,3,299,2/23/2023,Yes
3266,9722-UJOJR,Yes,No,No,No,No,Standart,Platinum,832,3,3,539,2/28/2023,No
3744,2391-SOORI,Yes,No,Yes,No,No,Standart,No,776,3,3,415,3/2/2023,Yes
5816,2642-DTVCO,Yes,Yes,No,No,No,Standart,No,775,3,3,705,3/2/2023,Yes
6992,3585-ISXZP,Yes,Yes,No,No,No,Premium,No,734,3,3,764,3/3/2023,No
762,1894-IGFSG,Yes,No,No,No,No,Standart,No,504,2,2,802,3/5/2023,No
1802,2178-PMGCJ,Yes,No,No,No,No,No,Platinum,340,2,2,395,3/5/2023,Yes
5821,1752-OZXFY,Yes,No,Yes,No,No,No,Premium,494,3,3,855,3/6/2023,No
497,4134-BSXLX,Yes,No,Yes,Yes,No,No,No,758,3,3,145,3/7/2023,Yes
963,9489-UTFKA,Yes,No,Yes,No,No,Premium,No,707,3,3,248,3/7/2023,No
5166,8062-YBDOE,Yes,No,No,No,No,Standart,Standart,697,3,3,796,3/7/2023,No
4348,4366-CTOUZ,Yes,No,No,Yes,No,No,Standart,785,3,3,623,3/8/2023,No
4175,3285-UCQVC,No,Yes,No,No,No,Premium,No,760,2,2,116,3/9/2023,Yes
4777,0018-NYROU,Yes,No,No,No,No,Standart,Premium,663,3,3,886,3/12/2023,No
6505,6110-OHIHY,Yes,No,No,No,No,Standart,No,521,2,2,439,3/13/2023,No
3843,1194-HVAIF,Yes,Yes,No,No,No,Platinum,No,646,3,3,728,3/14/2023,No
3797,8614-VGMMV,Yes,Yes,No,No,No,Standart,No,606,3,3,558,3/20/2023,No
4659,8455-HIRAQ,Yes,No,No,No,No,Gold,No,758,2,2,955,3/21/2023,Yes
5086,7074-STDCN,No,Yes,No,No,No,Standart,Platinum,637,3,3,300,3/22/2023,No
2601,2262-SLNVK,Yes,No,No,No,No,Standart,No,738,2,2,930,3/26/2023,No
728,6786-OBWQR,Yes,No,No,No,No,Standart,Premium,545,3,3,894,3/29/2023,No
5950,8756-RDDLT,No,Yes,No,Yes,No,Standart,No,847,3,3,526,3/31/2023,No
1740,9804-ICWBG,Yes,No,No,No,No,Standart,Standart,711,3,3,209,4/1/2023,Yes
7017,1471-GIQKQ,Yes,No,No,Yes,No,Standart,No,646,3,3,453,4/1/2023,No
978,5879-SESNB,Yes,Yes,No,No,No,Standart,No,702,3,3,225,4/3/2023,No
1434,6439-LAJXL,Yes,No,Yes,Yes,No,No,No,791,3,3,130,4/6/2023,No
5977,6907-CQGPN,No,Yes,No,Yes,No,Standart,No,752,3,3,578,4/6/2023,No
4847,8993-IZEUX,Yes,No,No,No,No,Premium,No,541,2,2,639,4/7/2023,No
1834,8286-AFUYI,Yes,No,Yes,No,No,Standart,No,660,3,3,201,4/8/2023,No
685,8040-MNRTF,Yes,No,No,No,No,No,No,443,1,1,99,4/9/2023,No
2364,4373-VVHQL,Yes,No,No,No,No,Standart,Standart,698,3,3,299,4/9/2023,No
1821,7554-AKDQF,Yes,No,No,No,No,Gold,No,843,2,2,292,4/10/2023,No
4089,1196-AMORA,Yes,Yes,No,No,No,Standart,No,833,3,3,916,4/10/2023,No
6379,0637-UBJRP,Yes,No,Yes,No,No,Standart,No,676,3,3,321,4/10/2023,Yes
4060,3415-TAILE,Yes,No,No,No,No,No,No,460,1,1,87,4/15/2023,Yes
