customerID,gender,Birthdate ,MartialStatus,Dependents,EducationLevel,Income,CityID
2519-LBNQL,Male,4/14/1953,Divorced,3,University,150,19
9574-RKJIF,Male,10/29/1952,Married,1,University,150,34
8775-LHDJH,Female,2/17/1954,Divorced,0,University,150,23
5973-EJGDP,Male,2/27/1954,Single,3,University,150,13
0562-HKHML,Male,9/21/1954,Married,1,High school,150,7
7314-OXENN,Male,2/20/1954,Single,5,University,150,16
3677-TNKIO,Female,10/9/1954,Married,0,University,150,25
5178-LMXOP,Male,10/31/1950,Divorced,0,University,150,4
0670-ANMUU,Male,1/4/1951,Married,0,University,150,4
6088-BXMRG,Female,3/18/1954,Married,1,University,150,45
4694-PHWFW,Female,8/14/1953,Divorced,2,High school,150,38
3005-NFMTA,Male,7/5/1952,Married,0,University,150,34
5297-MDOIR,Female,5/5/1950,Divorced,0,University,150,3
7666-WKRON,Female,4/2/1954,Divorced,0,University,150,47
0519-XUZJU,Female,4/4/1952,Divorced,0,University,150,45
4565-NLZBV,Female,10/26/1950,Married,5,High school,150,5
3871-IKPYH,Male,1/18/1951,Married,0,University,150,38
2205-YMZZJ,Male,2/17/1952,Single,0,University,150,38
6725-TPKJO,Male,9/27/1955,Divorced,0,High school,150,2
9548-LIGTA,Male,7/13/1951,Married,5,Collage,150,21
7613-LLQFO,Male,9/29/1951,Single,0,University,150,43
9397-TZSHA,Female,6/16/1951,Married,2,High school,150,1
7336-RLLRH,Male,6/23/1952,Married,4,Collage,150,43
2862-PFNIK,Male,8/5/1951,Married,1,Collage,150,11
6047-SUHPR,Male,6/7/1954,Married,1,Collage,150,32
7508-SMHXL,Female,6/17/1952,Divorced,3,University,150,4
0811-GSDTP,Female,2/3/1950,Single,5,Collage,150,8
6854-EXGSF,Female,1/18/1951,Divorced,0,Collage,150,15
2335-GSODA,Male,7/31/1954,Married,1,Collage,150,47
9674-EHPPG,Male,6/3/1951,Married,0,Collage,150,44
8165-ZJRNM,Female,12/31/1950,Married,1,High school,150,50
6603-QWSPR,Female,11/16/1951,Single,0,University,200,4
0599-XNYDO,Female,8/17/1951,Married,0,University,200,19
4236-UJPWO,Female,8/3/1954,Single,0,Collage,200,20
7633-MVPUY,Male,7/5/1950,Married,1,Collage,200,34
2080-SRCDE,Female,9/27/1952,Single,5,High school,200,38
7860-UXCRM,Male,10/18/1955,Married,1,Collage,200,13
9210-IAHGH,Female,3/1/1953,Married,0,Collage,200,14
0637-UBJRP,Male,3/14/1952,Married,1,University,200,37
4832-VRBMR,Male,2/2/1952,Divorced,2,University,200,9
9137-UIYPG,Female,10/5/1952,Married,1,University,200,46
3398-ZOUAA,Male,10/24/1953,Married,0,University,200,27
5338-YHWYT,Male,7/10/1951,Divorced,1,Collage,200,15
8800-ZKRFW,Female,2/4/1954,Married,5,University,200,5
3755-JBMNH,Male,7/5/1951,Married,0,University,200,39
2164-SOQXL,Female,4/4/1950,Divorced,1,High school,200,4
4547-FZJWE,Male,1/30/1952,Married,5,Collage,200,23
6353-BRMMA,Female,8/28/1952,Divorced,1,University,200,41
6754-LZUKA,Male,9/27/1950,Married,0,Collage,200,5
8849-AYPTR,Male,12/23/1954,Married,0,University,200,25
3696-DFHHB,Female,11/30/1951,Divorced,0,High school,200,29
8439-LTUGF,Male,12/20/1955,Married,0,High school,200,12
6743-HHQPF,Male,10/5/1955,Married,0,Collage,200,17
2694-CIUMO,Female,6/10/1950,Married,0,University,200,34
3096-JRDSO,Female,5/6/1953,Married,0,University,200,30
6410-LEFEN,Female,8/28/1951,Single,0,Collage,200,47
6390-DSAZX,Female,3/14/1955,Married,1,University,200,29
5989-OMNJE,Female,1/28/1954,Married,2,Collage,200,6
1951-IEYXM,Male,10/4/1955,Divorced,2,Collage,200,24
0295-PPHDO,Male,3/17/1955,Married,0,University,200,30
5835-BEQEU,Male,8/27/1950,Single,4,University,200,28
6134-KWTBV,Male,3/10/1952,Divorced,0,High school,200,39
4289-DTDKW,Male,9/23/1952,Married,4,University,200,47
0083-PIVIK,Male,4/20/1954,Divorced,0,Collage,200,48
1169-SAOCL,Male,10/20/1951,Divorced,0,University,200,22
2433-KMEAS,Male,10/1/1952,Divorced,0,Collage,200,8
7872-RDDLZ,Female,1/27/1950,Married,0,Collage,200,8
3146-MSEGF,Female,11/12/1951,Divorced,5,Collage,200,43
9531-NSBMR,Female,8/9/1952,Married,5,High school,200,11
4816-LXZYW,Female,5/1/1954,Single,4,University,200,37
9028-LIHRP,Male,6/13/1953,Divorced,1,University,200,29
3585-ISXZP,Female,2/6/1955,Single,0,University,200,31
7831-QGOXH,Female,10/29/1950,Single,4,University,200,18
6300-BWMJX,Female,3/16/1951,Divorced,0,University,200,41
2577-GVSIL,Male,7/17/1951,Married,1,Collage,200,28
7407-SUJIZ,Male,5/23/1952,Divorced,0,High school,200,11
6967-QIQRV,Male,7/4/1954,Married,5,University,200,36
6734-JDTTV,Male,6/9/1950,Married,1,High school,250,4
5382-TEMLV,Male,8/20/1953,Married,0,Collage,250,5
3658-QQJYD,Male,11/9/1954,Single,3,Collage,250,28
3982-JGSFD,Male,9/27/1951,Single,0,High school,250,15
4445-KWOKW,Female,10/23/1955,Single,2,Collage,250,49
2499-AJYUA,Female,9/9/1950,Divorced,5,University,250,2
2252-NKNSI,Male,9/3/1951,Divorced,1,Collage,250,49
8414-MYSHR,Male,12/10/1951,Divorced,0,University,250,5
0311-UNPFF,Female,10/25/1952,Divorced,0,University,250,28
8779-YIQQA,Male,9/5/1953,Divorced,1,High school,250,16
1101-SSWAG,Female,9/25/1950,Married,0,Collage,250,1
4360-QRAVE,Male,11/6/1954,Divorced,0,Collage,250,48
2959-MJHIC,Male,6/25/1951,Divorced,0,University,250,8
5134-IKDAY,Female,11/27/1952,Divorced,1,University,250,29
4132-KALRO,Female,12/3/1954,Divorced,0,University,250,42
6661-HBGWL,Female,2/10/1951,Married,0,University,250,10
7471-WNSUF,Male,7/17/1954,Married,3,High school,250,47
9867-JCZSP,Female,12/8/1952,Divorced,1,High school,250,7
6861-OKBCE,Female,5/25/1955,Married,1,High school,250,31
7764-BDPEE,Male,11/7/1955,Divorced,3,High school,250,39
1536-HBSWP,Female,7/14/1952,Single,1,Collage,250,16
0117-LFRMW,Male,12/22/1950,Married,1,Collage,250,17
7625-XCQRH,Female,8/12/1955,Divorced,0,University,250,26
2985-JUUBZ,Male,9/20/1950,Married,4,Collage,250,34
5158-RIVOP,Female,3/12/1952,Divorced,5,High school,250,30
6736-DHUQI,Female,7/21/1950,Divorced,1,University,250,38
2045-BMBTJ,Female,3/30/1955,Married,0,Collage,250,35
8515-OCTJS,Female,5/4/1951,Divorced,0,High school,250,45
2123-AGEEN,Female,12/14/1951,Married,4,University,300,25
5440-VHLUL,Male,3/30/1953,Divorced,0,University,300,7
3320-VEOYC,Male,8/3/1954,Divorced,0,University,300,42
8060-HIWJJ,Male,2/2/1955,Married,1,Collage,300,37
2316-ESMLS,Female,5/28/1954,Divorced,1,Collage,300,21
3021-VLNRJ,Female,9/23/1952,Married,1,Collage,300,21
6457-GIRWB,Male,5/10/1953,Divorced,0,University,300,28
5286-YHCVC,Male,7/5/1954,Divorced,0,University,300,46
0810-DHDBD,Female,3/7/1951,Married,3,Collage,300,38
5438-QMDDL,Female,3/17/1951,Married,0,Collage,300,8
8701-DGLVH,Male,5/24/1953,Married,0,High school,300,43
2436-QBZFP,Female,9/8/1955,Married,1,Collage,300,18
3927-NLNRY,Male,12/16/1950,Married,2,University,300,5
2710-WYVXG,Female,5/16/1955,Married,0,Collage,300,4
2842-JTCCU,Male,1/17/1951,Married,0,Collage,300,42
0479-HMSWA,Female,3/23/1954,Married,1,University,300,35
6908-VVYHM,Male,5/20/1950,Divorced,4,University,300,8
7140-ADSMJ,Male,11/6/1952,Married,0,High school,300,24
0463-ZSDNT,Male,10/12/1952,Single,0,Collage,300,36
2257-BOVXD,Male,1/11/1953,Married,0,Collage,300,33
5461-QKNTN,Male,4/23/1955,Married,1,University,300,38
4704-ERYFC,Female,12/24/1952,Married,2,University,300,41
